city name,postcode,latitude,longitude
COMBRIT,29120,47.887144359, -4.164161625
TREMEOC,29120,47.90728335, -4.219951554
PLOMEUR,29120,47.838142718, -4.294387728
ST JEAN TROLIMON,29120,47.868494618, -4.309163849
PONT L ABBE,29120,47.865184932, -4.216780858
ST YVI,29140,47.959951178, -3.93884767
MELGVEN,29140,47.913039105, -3.841855789
ROSPORDEN,29140,47.958176098, -3.800741451
ROSPORDEN,29140,47.958176098, -3.800741451
TOURCH,29140,48.027114963, -3.823394056
DINEAULT,29150,48.217776216, -4.166687626
CAST,29150,48.148889351, -4.11886839
PORT LAUNAY,29150,48.217805158, -4.081894539
ST COULITZ,29150,48.182218707, -4.066884824
CHATEAULIN,29150,48.202954677, -4.073746337
CROZON,29160,48.244914628, -4.491944902
CROZON,29160,48.244914628, -4.491944902
CROZON,29160,48.244914628, -4.491944902
LANVEOC,29160,48.275580525, -4.444441979
ST EVARZEC,29170,47.953775253, -4.009799895
FOUESNANT,29170,47.872601527, -4.016515185
PLEUVEN,29170,47.914844197, -4.046031125
FOUESNANT,29170,47.872601527, -4.016515185
QUEMENEVEN,29180,48.118064644, -4.143925661
LOCRONAN,29180,48.098083169, -4.213158145
PLOGONNEC,29180,48.072806039, -4.158668149
GUENGAT,29180,48.041240587, -4.196044169
LE CLOITRE PLEYBEN,29190,48.258689977, -3.896689605
LOTHEY,29190,48.183845781, -4.025688336
LANNEDERN,29190,48.289441066, -3.902770761
BRASPARTS,29190,48.319459119, -3.950296924
GOUEZEC,29190,48.170053873, -3.972204106
LENNON,29190,48.205463922, -3.903018322
PLEYBEN,29190,48.238063699, -3.975575954
ST RIVOAL,29190,48.34916444, -3.987758119
BREST,29200,48.400345079, -4.502479359
PLOUGONVELIN,29217,48.351092431, -4.718053472
PLOUGONVELIN,29217,48.351092431, -4.718053472
LE CONQUET,29217,48.357025748, -4.762265499
TREBABU,29217,48.370596391, -4.732277761
CLEDER,29233,48.660341605, -4.124313934
LOCQUIREC,29241,48.682930831, -3.667581439
OUESSANT,29242,48.460730638, -5.086013927
POULLAOUEN,29246,48.347877827, -3.643645763
PLOUGOULM,29250,48.656255626, -4.041883832
SIBIRIL,29250,48.66430783, -4.071763438
ST POL DE LEON,29250,48.672617829, -3.988959418
SANTEC,29250,48.699878192, -4.031586179
PLOUEZOC H,29252,48.637223675, -3.815665124
ILE DE BATZ,29253,48.745680755, -4.01493735
ILE MOLENE,29259,48.396523728, -4.958609153
PLOUDANIEL,29260,48.523050138, -4.31379249
KERNOUES,29260,48.593983392, -4.34459697
LESNEVEN,29260,48.579932223, -4.312932262
ST MEEN,29260,48.554758387, -4.258827846
TREGARANTEC,29260,48.549427953, -4.289530514
KERNILIS,29260,48.575392101, -4.411074241
LOC BREVALAIRE,29260,48.554109757, -4.407112848
LE FOLGOET,29260,48.566279876, -4.352323247
LANARVILY,29260,48.560967094, -4.382697134
PLOUIDER,29260,48.601734911, -4.292692293
ST FREGANT,29260,48.599792553, -4.373337455
CLEDEN POHER,29270,48.243110111, -3.664154297
KERGLOFF,29270,48.28018213, -3.645915396
PLOUNEVEZEL,29270,48.312109718, -3.574643154
CARHAIX PLOUGUER,29270,48.268748438, -3.566027483
MOTREFF,29270,48.219797313, -3.562670512
ST HERNIN,29270,48.208122733, -3.61100549
LOCMARIA PLOUZANE,29280,48.371499558, -4.650144094
PLOUZANE,29280,48.377624035, -4.598965851
ST RENAN,29290,48.426041807, -4.62400497
TREOUERGAT,29290,48.494960385, -4.601867967
MILIZAC GUIPRONVEL,29290,48.465048219, -4.567909406
LANRIVOARE,29290,48.466358742, -4.634546977
MILIZAC GUIPRONVEL,29290,48.465048219, -4.567909406
QUIMPERLE,29300,47.856153429, -3.555021762
TREMEVEN,29300,47.902151396, -3.52501355
BAYE,29300,47.85584953, -3.613231761
GUILLIGOMARC H,29300,47.943410977, -3.42611898
MELLAC,29300,47.898564577, -3.587911207
ARZANO,29300,47.893174019, -3.442755537
REDENE,29300,47.85540586, -3.487062187
LOCUNOLE,29310,47.924006006, -3.485584559
QUERRIEN,29310,47.95543352, -3.547539622
RIEC SUR BELON,29340,47.849126475, -3.69050371
MOELAN SUR MER,29350,47.806298901, -3.645593893
MOELAN SUR MER,29350,47.806298901, -3.645593893
CLOHARS CARNOET,29360,47.79449354, -3.566706716
CLOHARS CARNOET,29360,47.79449354, -3.566706716
ELLIANT,29370,48.007860722, -3.902543676
CORAY,29370,48.065941549, -3.85507578
LE TREVOUX,29380,47.888587443, -3.657029043
BANNALEC,29380,47.935239103, -3.695213554
ST THURIEN,29380,47.956751438, -3.619964902
SCAER,29390,48.027810505, -3.730246087
LEUHAN,29390,48.100578004, -3.778505893
PLOUGOURVEST,29400,48.553685459, -4.073314878
LOCMELAR,29400,48.450222544, -4.057921755
PLOUNEVENTER,29400,48.520903829, -4.208927124
BODILIS,29400,48.515319658, -4.120072961
GUIMILIAU,29400,48.481678221, -3.99708811
LANNEUFFRET,29400,48.495889998, -4.20154459
LOC EGUINER,29400,48.47572349, -4.092367277
ST SERVAIS,29400,48.515423871, -4.158215783
LANDIVISIAU,29400,48.516404956, -4.060786056
LAMPAUL GUIMILIAU,29400,48.48372582, -4.04046759
ST SAUVEUR,29400,48.44826592, -4.000249304
PLEYBER CHRIST,29410,48.510673161, -3.871713177
LE CLOITRE ST THEGONNEC,29410,48.459764244, -3.792461128
GUICLAN,29410,48.543150109, -3.979803352
ST THEGONNEC LOC EGUINER,29410,48.502271639, -3.940488625
ST THEGONNEC LOC EGUINER,29410,48.502271639, -3.940488625
PLOUNEOUR MENEZ,29410,48.44573764, -3.880781578
MESPAUL,29420,48.613361533, -4.060717995
PLOUENAN,29420,48.621023413, -3.980405387
PLOUVORN,29420,48.576884782, -4.02218014
LANHOUARNEAU,29430,48.575338355, -4.204440035
PLOUESCAT,29430,48.665530175, -4.180115585
PLOUNEVEZ LOCHRIST,29430,48.619686333, -4.198629545
